# Time,Radius_of_Gyration
0.000000000000000000e+00,8.830546716720023426e+01
5.000000000000000000e+02,8.845049324701115268e+01
1.000000000000000000e+03,8.845475741713607931e+01
1.500000000000000000e+03,8.833203237337139058e+01
2.000000000000000000e+03,8.835597394946169914e+01
2.500000000000000000e+03,8.839315730119821524e+01
3.000000000000000000e+03,8.841853412494683084e+01
3.500000000000000000e+03,8.840752387633679632e+01
4.000000000000000000e+03,8.845066267868378418e+01
4.500000000000000000e+03,8.840815546596631691e+01
5.000000000000000000e+03,8.843322983922288927e+01
5.500000000000000000e+03,8.835331087114785475e+01
6.000000000000000000e+03,8.839506454137473668e+01
6.500000000000000000e+03,8.845781746244007593e+01
7.000000000000000000e+03,8.849430069738312454e+01
7.500000000000000000e+03,8.843609279666638656e+01
8.000000000000000000e+03,8.848903269418734396e+01
8.500000000000000000e+03,8.838676807709070715e+01
9.000000000000000000e+03,8.845789016116115988e+01
9.500000000000000000e+03,8.841913048030502864e+01
1.000000000000000000e+04,8.844144796721161583e+01
1.050000000000000000e+04,8.843007571076361728e+01
1.100000000000000000e+04,8.839811587465236187e+01
1.150000000000000000e+04,8.834161015329418376e+01
1.200000000000000000e+04,8.832336912926689365e+01
1.250000000000000000e+04,8.822716034754824932e+01
1.300000000000000000e+04,8.823496993953568790e+01
1.350000000000000000e+04,8.824675091496079915e+01
1.400000000000000000e+04,8.826398182415312021e+01
1.450000000000000000e+04,8.833786270754767145e+01
1.500000000000000000e+04,8.833553571449262165e+01
1.550000000000000000e+04,8.832610839163002936e+01
1.600000000000000000e+04,8.829591009036612093e+01
1.650000000000000000e+04,8.817371200507876949e+01
1.700000000000000000e+04,8.829090912636118560e+01
1.750000000000000000e+04,8.828364798825685966e+01
1.800000000000000000e+04,8.824489439717898165e+01
1.850000000000000000e+04,8.827786804802404674e+01
1.900000000000000000e+04,8.831415104005350258e+01
1.950000000000000000e+04,8.832134741497415575e+01
2.000000000000000000e+04,8.838788241680087765e+01
2.050000000000000000e+04,8.826876619010390357e+01
2.100000000000000000e+04,8.834599079734005045e+01
2.150000000000000000e+04,8.832949392811048028e+01
2.200000000000000000e+04,8.847163483116314353e+01
2.250000000000000000e+04,8.838097971241950290e+01
2.300000000000000000e+04,8.838856359141998098e+01
2.350000000000000000e+04,8.841364314864462415e+01
2.400000000000000000e+04,8.842457319232671864e+01
2.450000000000000000e+04,8.838116083252388933e+01
2.500000000000000000e+04,8.842959657650382610e+01
2.550000000000000000e+04,8.848557919783534942e+01
2.600000000000000000e+04,8.836310628670997858e+01
2.650000000000000000e+04,8.828421797622604572e+01
2.700000000000000000e+04,8.834077442977537942e+01
2.750000000000000000e+04,8.834003688285334022e+01
2.800000000000000000e+04,8.823987582232831528e+01
2.850000000000000000e+04,8.833740756607069500e+01
2.900000000000000000e+04,8.823924560952865193e+01
2.950000000000000000e+04,8.834830416507661255e+01
3.000000000000000000e+04,8.836690488213270100e+01
3.050000000000000000e+04,8.838438236449215424e+01
