# Time,Radius_of_Gyration
0.000000000000000000e+00,8.736216841106374886e+01
5.000000000000000000e+01,8.719898857094123912e+01
1.000000000000000000e+02,8.720504086095056095e+01
1.500000000000000000e+02,8.725342190560526490e+01
2.000000000000000000e+02,8.727038137228272774e+01
2.500000000000000000e+02,8.716196118438969620e+01
3.000000000000000000e+02,8.719012918471737805e+01
3.500000000000000000e+02,8.719329472798639813e+01
4.000000000000000000e+02,8.716067442455587866e+01
4.500000000000000000e+02,8.718516530509322138e+01
5.000000000000000000e+02,8.715787639746747573e+01
5.500000000000000000e+02,8.718326890972275578e+01
6.000000000000000000e+02,8.716589812891733402e+01
6.500000000000000000e+02,8.715464440967399185e+01
7.000000000000000000e+02,8.722961752840399186e+01
7.500000000000000000e+02,8.718398015448924809e+01
8.000000000000000000e+02,8.714792108295033302e+01
8.500000000000000000e+02,8.715262899322343060e+01
9.000000000000000000e+02,8.713436893024358199e+01
9.500000000000000000e+02,8.710942902269812294e+01
1.000000000000000000e+03,8.706599990922592269e+01
1.050000000000000000e+03,8.705972672630529985e+01
1.100000000000000000e+03,8.704581380782522615e+01
1.150000000000000000e+03,8.707355148672594680e+01
1.200000000000000000e+03,8.709851340096133754e+01
1.250000000000000000e+03,8.711567028410851776e+01
1.300000000000000000e+03,8.707438071415866432e+01
1.350000000000000000e+03,8.705355581260714359e+01
1.400000000000000000e+03,8.704965552195682221e+01
1.450000000000000000e+03,8.699403105886756293e+01
1.500000000000000000e+03,8.709504897750471741e+01
1.550000000000000000e+03,8.710617593657434554e+01
1.600000000000000000e+03,8.708580858452916118e+01
1.650000000000000000e+03,8.708638801259728268e+01
1.700000000000000000e+03,8.710688587898582114e+01
1.750000000000000000e+03,8.709472477250861289e+01
1.800000000000000000e+03,8.706351296828853492e+01
1.850000000000000000e+03,8.705402930327430511e+01
1.900000000000000000e+03,8.701473346637145312e+01
1.950000000000000000e+03,8.706278834201307859e+01
2.000000000000000000e+03,8.707213646484194669e+01
2.050000000000000000e+03,8.705933007792592093e+01
2.100000000000000000e+03,8.706874746990193614e+01
2.150000000000000000e+03,8.706630847655509342e+01
2.200000000000000000e+03,8.703014476518956144e+01
2.250000000000000000e+03,8.709000913786255182e+01
2.300000000000000000e+03,8.705621752035763450e+01
2.350000000000000000e+03,8.705112900766582129e+01
2.400000000000000000e+03,8.708318950255466007e+01
2.450000000000000000e+03,8.704788273339252669e+01
2.500000000000000000e+03,8.711706765601674363e+01
2.550000000000000000e+03,8.706587947071770373e+01
2.600000000000000000e+03,8.707103566289103469e+01
2.650000000000000000e+03,8.708041113054501636e+01
2.700000000000000000e+03,8.715009283246409666e+01
2.750000000000000000e+03,8.708468947705397056e+01
2.800000000000000000e+03,8.713563278652415534e+01
