# Time,Radius_of_Gyration
0.000000000000000000e+00,8.639766855753239838e+01
5.000000000000000000e+01,8.626140672868199033e+01
1.000000000000000000e+02,8.619788501578160833e+01
1.500000000000000000e+02,8.626120385693842252e+01
2.000000000000000000e+02,8.623286483274117131e+01
2.500000000000000000e+02,8.626861388001275088e+01
3.000000000000000000e+02,8.624460371482931009e+01
3.500000000000000000e+02,8.622573005031418347e+01
4.000000000000000000e+02,8.625248926213964751e+01
4.500000000000000000e+02,8.622961295806786097e+01
5.000000000000000000e+02,8.617582474459106834e+01
5.500000000000000000e+02,8.622694149056124502e+01
6.000000000000000000e+02,8.629155754151126700e+01
6.500000000000000000e+02,8.623184566642019888e+01
7.000000000000000000e+02,8.629813752469074473e+01
7.500000000000000000e+02,8.620792431568585812e+01
8.000000000000000000e+02,8.626806669005746642e+01
8.500000000000000000e+02,8.630276515431420137e+01
9.000000000000000000e+02,8.631701757833970134e+01
9.500000000000000000e+02,8.633832398079680104e+01
1.000000000000000000e+03,8.627348128209044376e+01
1.050000000000000000e+03,8.628518570129635634e+01
1.100000000000000000e+03,8.625914967068266037e+01
1.150000000000000000e+03,8.621142014911185925e+01
1.200000000000000000e+03,8.631018897206068630e+01
1.250000000000000000e+03,8.620060773218331462e+01
1.300000000000000000e+03,8.633211730691311914e+01
1.350000000000000000e+03,8.632385808294132801e+01
1.400000000000000000e+03,8.632583009758313608e+01
1.450000000000000000e+03,8.629564105362254622e+01
1.500000000000000000e+03,8.626141958689537148e+01
1.550000000000000000e+03,8.631647398271903171e+01
1.600000000000000000e+03,8.618027755816370927e+01
1.650000000000000000e+03,8.630835845511116133e+01
1.700000000000000000e+03,8.624375625996134431e+01
1.750000000000000000e+03,8.633298286704010138e+01
1.800000000000000000e+03,8.624832882785203481e+01
1.850000000000000000e+03,8.619169579931566716e+01
1.900000000000000000e+03,8.619284778195080321e+01
1.950000000000000000e+03,8.615747029901744725e+01
2.000000000000000000e+03,8.623307657421284489e+01
2.050000000000000000e+03,8.617114032363389242e+01
2.100000000000000000e+03,8.628683034609106528e+01
2.150000000000000000e+03,8.623061030104953772e+01
2.200000000000000000e+03,8.625370961713690576e+01
2.250000000000000000e+03,8.617180971903664499e+01
2.300000000000000000e+03,8.625640871215794903e+01
2.350000000000000000e+03,8.619654251410067047e+01
2.400000000000000000e+03,8.625317451530335688e+01
2.450000000000000000e+03,8.618036489641677633e+01
2.500000000000000000e+03,8.624217689081606864e+01
2.550000000000000000e+03,8.622555685059705866e+01
2.600000000000000000e+03,8.626433064397603800e+01
2.650000000000000000e+03,8.617267096213244315e+01
2.700000000000000000e+03,8.619730848526332068e+01
2.750000000000000000e+03,8.621897548518721521e+01
2.800000000000000000e+03,8.617651024163423301e+01
2.850000000000000000e+03,8.623680766532625341e+01
2.900000000000000000e+03,8.610934433919501885e+01
2.950000000000000000e+03,8.612377263324496823e+01
3.000000000000000000e+03,8.613615790463583721e+01
3.050000000000000000e+03,8.607236505063633558e+01
3.100000000000000000e+03,8.610664727196642332e+01
3.150000000000000000e+03,8.610884884606431910e+01
3.200000000000000000e+03,8.607736169418147654e+01
3.250000000000000000e+03,8.617241210482538349e+01
3.300000000000000000e+03,8.607708339107243489e+01
3.350000000000000000e+03,8.617399411753358152e+01
3.400000000000000000e+03,8.612157187693347282e+01
3.450000000000000000e+03,8.612842157069987081e+01
3.500000000000000000e+03,8.610639004010209874e+01
3.550000000000000000e+03,8.619676195414922404e+01
3.600000000000000000e+03,8.617731232310357825e+01
3.650000000000000000e+03,8.620028878869625544e+01
3.700000000000000000e+03,8.617163685064205936e+01
3.750000000000000000e+03,8.623883218721830701e+01
