# Time,Radius_of_Gyration
0.000000000000000000e+00,8.710895642689072815e+01
5.000000000000000000e+01,8.714504975038559564e+01
1.000000000000000000e+02,8.718239854376068365e+01
1.500000000000000000e+02,8.713373403066430001e+01
2.000000000000000000e+02,8.708360598837387556e+01
2.500000000000000000e+02,8.709257029854965992e+01
3.000000000000000000e+02,8.712969676003207553e+01
3.500000000000000000e+02,8.714465723657183105e+01
4.000000000000000000e+02,8.709543954754654749e+01
4.500000000000000000e+02,8.710431438829644435e+01
5.000000000000000000e+02,8.709686882356227500e+01
5.500000000000000000e+02,8.716537001207919388e+01
6.000000000000000000e+02,8.715946487351352800e+01
6.500000000000000000e+02,8.713972651189222063e+01
7.000000000000000000e+02,8.712203169330494745e+01
7.500000000000000000e+02,8.712596783294519298e+01
8.000000000000000000e+02,8.709993859704947283e+01
8.500000000000000000e+02,8.707540642772629269e+01
9.000000000000000000e+02,8.714775806177684103e+01
9.500000000000000000e+02,8.715293764481440064e+01
1.000000000000000000e+03,8.717634372491514227e+01
1.050000000000000000e+03,8.710883231595795451e+01
1.100000000000000000e+03,8.711634266662809978e+01
1.150000000000000000e+03,8.712707696814467795e+01
1.200000000000000000e+03,8.717011328573666162e+01
1.250000000000000000e+03,8.713253316284443883e+01
1.300000000000000000e+03,8.721197271166370513e+01
1.350000000000000000e+03,8.714992458377999185e+01
1.400000000000000000e+03,8.715710416257894622e+01
1.450000000000000000e+03,8.716640604096404843e+01
1.500000000000000000e+03,8.717780365929115760e+01
1.550000000000000000e+03,8.720364845925372776e+01
1.600000000000000000e+03,8.715416539125442341e+01
1.650000000000000000e+03,8.716722874413169109e+01
1.700000000000000000e+03,8.716140785451473505e+01
1.750000000000000000e+03,8.715663209829230595e+01
1.800000000000000000e+03,8.717230952177212089e+01
1.850000000000000000e+03,8.716543747837573619e+01
1.900000000000000000e+03,8.715627354221989265e+01
1.950000000000000000e+03,8.714889951616837038e+01
2.000000000000000000e+03,8.714735441127966453e+01
2.050000000000000000e+03,8.716318033671035437e+01
2.100000000000000000e+03,8.709054718338964562e+01
2.150000000000000000e+03,8.709232104327564628e+01
2.200000000000000000e+03,8.708373973701164061e+01
2.250000000000000000e+03,8.705335050207879988e+01
2.300000000000000000e+03,8.711901394731189896e+01
2.350000000000000000e+03,8.703872441877581423e+01
2.400000000000000000e+03,8.708945090546586698e+01
2.450000000000000000e+03,8.709204805796372284e+01
2.500000000000000000e+03,8.711862441923908307e+01
2.550000000000000000e+03,8.710573782875896143e+01
2.600000000000000000e+03,8.707077179090975960e+01
