# Time,Radius_of_Gyration
0.000000000000000000e+00,8.740769799780690619e+01
5.000000000000000000e+01,8.748867589214917473e+01
1.000000000000000000e+02,8.744128010903513371e+01
1.500000000000000000e+02,8.740559406231169248e+01
2.000000000000000000e+02,8.750985172646929300e+01
2.500000000000000000e+02,8.744538881557657817e+01
3.000000000000000000e+02,8.746839704981059072e+01
3.500000000000000000e+02,8.744861236399711402e+01
4.000000000000000000e+02,8.744986688279735176e+01
4.500000000000000000e+02,8.749355090534886870e+01
5.000000000000000000e+02,8.746899317273444296e+01
5.500000000000000000e+02,8.746697917146910584e+01
6.000000000000000000e+02,8.737532027507296561e+01
6.500000000000000000e+02,8.743518781056066302e+01
7.000000000000000000e+02,8.740041708478109683e+01
7.500000000000000000e+02,8.746307536838961028e+01
8.000000000000000000e+02,8.745481872684467817e+01
8.500000000000000000e+02,8.747726738990400008e+01
9.000000000000000000e+02,8.749228943778150835e+01
9.500000000000000000e+02,8.748900459970053589e+01
1.000000000000000000e+03,8.742638300128474782e+01
1.050000000000000000e+03,8.743795149049617521e+01
1.100000000000000000e+03,8.742670205843397468e+01
1.150000000000000000e+03,8.736808343674766775e+01
1.200000000000000000e+03,8.742877721568842730e+01
1.250000000000000000e+03,8.740088926280311910e+01
1.300000000000000000e+03,8.740929983747302856e+01
1.350000000000000000e+03,8.738327765732634589e+01
1.400000000000000000e+03,8.741121209834261663e+01
1.450000000000000000e+03,8.743264127558468601e+01
1.500000000000000000e+03,8.741370389246804962e+01
1.550000000000000000e+03,8.742969176351051885e+01
1.600000000000000000e+03,8.742694823006257820e+01
1.650000000000000000e+03,8.745896911714180533e+01
1.700000000000000000e+03,8.743749931148087740e+01
1.750000000000000000e+03,8.747247177782111294e+01
1.800000000000000000e+03,8.749741897590374151e+01
1.850000000000000000e+03,8.748547599560305343e+01
1.900000000000000000e+03,8.744682795291006983e+01
1.950000000000000000e+03,8.746585767852225501e+01
2.000000000000000000e+03,8.741322436268238505e+01
2.050000000000000000e+03,8.745153224119505353e+01
2.100000000000000000e+03,8.743472074836068941e+01
2.150000000000000000e+03,8.742243952015850539e+01
2.200000000000000000e+03,8.744419470393488325e+01
2.250000000000000000e+03,8.745987238559440868e+01
2.300000000000000000e+03,8.744072135117755806e+01
2.350000000000000000e+03,8.745912801507878953e+01
2.400000000000000000e+03,8.742329417166386918e+01
2.450000000000000000e+03,8.744688545944319458e+01
2.500000000000000000e+03,8.739886714700342907e+01
2.550000000000000000e+03,8.739095421812227471e+01
2.600000000000000000e+03,8.742624308097018115e+01
2.650000000000000000e+03,8.747995253122368808e+01
2.700000000000000000e+03,8.743092561590991352e+01
2.750000000000000000e+03,8.740120899690532497e+01
2.800000000000000000e+03,8.744739553089101491e+01
2.850000000000000000e+03,8.742843386664327454e+01
2.900000000000000000e+03,8.740099624487068297e+01
2.950000000000000000e+03,8.743628538417735285e+01
3.000000000000000000e+03,8.741813121825845201e+01
3.050000000000000000e+03,8.745393771943780337e+01
3.100000000000000000e+03,8.746387406574247336e+01
3.150000000000000000e+03,8.750847865282297278e+01
3.200000000000000000e+03,8.752150863425237048e+01
3.250000000000000000e+03,8.749733342283592208e+01
3.300000000000000000e+03,8.749497420222684241e+01
3.350000000000000000e+03,8.744720670576911914e+01
3.400000000000000000e+03,8.743055679793663160e+01
3.450000000000000000e+03,8.742286065408671902e+01
3.500000000000000000e+03,8.741376693453054258e+01
3.550000000000000000e+03,8.743735208967271433e+01
3.600000000000000000e+03,8.744456875410826058e+01
3.650000000000000000e+03,8.747428588056992282e+01
3.700000000000000000e+03,8.741545122474536811e+01
3.750000000000000000e+03,8.744481372733088165e+01
3.800000000000000000e+03,8.738723644284786474e+01
3.850000000000000000e+03,8.738484723552775790e+01
3.900000000000000000e+03,8.739814710035385303e+01
3.950000000000000000e+03,8.739074030599174137e+01
4.000000000000000000e+03,8.736978840365867427e+01
4.050000000000000000e+03,8.737562211654001487e+01
4.100000000000000000e+03,8.737650435562650841e+01
4.150000000000000000e+03,8.734798033183746213e+01
4.200000000000000000e+03,8.742269056473580235e+01
4.250000000000000000e+03,8.745594453473006524e+01
4.300000000000000000e+03,8.745333820248551149e+01
4.350000000000000000e+03,8.748552983092962165e+01
4.400000000000000000e+03,8.750434489843625840e+01
4.450000000000000000e+03,8.749519599136290537e+01
4.500000000000000000e+03,8.752955684149041815e+01
4.550000000000000000e+03,8.752590141748535757e+01
4.600000000000000000e+03,8.754461064720382524e+01
4.650000000000000000e+03,8.761095030654085747e+01
4.700000000000000000e+03,8.757628516182221290e+01
4.750000000000000000e+03,8.759200719098792831e+01
4.800000000000000000e+03,8.757486168596329890e+01
4.850000000000000000e+03,8.755269185948759514e+01
4.900000000000000000e+03,8.749120218196557630e+01
4.950000000000000000e+03,8.748609349644029010e+01
5.000000000000000000e+03,8.742473293062742812e+01
5.050000000000000000e+03,8.746678210844667944e+01
5.100000000000000000e+03,8.746311966313558628e+01
5.150000000000000000e+03,8.744728532900548146e+01
5.200000000000000000e+03,8.745829685515096230e+01
5.250000000000000000e+03,8.744772142186113228e+01
5.300000000000000000e+03,8.748073456969407857e+01
5.350000000000000000e+03,8.741169424785424269e+01
5.400000000000000000e+03,8.741231825148115320e+01
5.450000000000000000e+03,8.745295702620758505e+01
5.500000000000000000e+03,8.745039587246405688e+01
5.550000000000000000e+03,8.742677308229418998e+01
5.600000000000000000e+03,8.744546404977602094e+01
5.650000000000000000e+03,8.743025195685586937e+01
5.700000000000000000e+03,8.745255482830391713e+01
5.750000000000000000e+03,8.747120307377761605e+01
5.800000000000000000e+03,8.746975026772915385e+01
5.850000000000000000e+03,8.743724068136694427e+01
5.900000000000000000e+03,8.743878358700537490e+01
5.950000000000000000e+03,8.739725234243626062e+01
6.000000000000000000e+03,8.744461776882130266e+01
6.050000000000000000e+03,8.742931464769138472e+01
6.100000000000000000e+03,8.741820170352812625e+01
6.150000000000000000e+03,8.743955584099801115e+01
6.200000000000000000e+03,8.747353209486141168e+01
6.250000000000000000e+03,8.751986812068885513e+01
6.300000000000000000e+03,8.749785142831339613e+01
6.350000000000000000e+03,8.746735044969140915e+01
6.400000000000000000e+03,8.747087392125092720e+01
6.450000000000000000e+03,8.743343786294363440e+01
6.500000000000000000e+03,8.740200407876903910e+01
6.550000000000000000e+03,8.742801217077207809e+01
6.600000000000000000e+03,8.746836050979443655e+01
6.650000000000000000e+03,8.741626562967704217e+01
6.700000000000000000e+03,8.745444740292204244e+01
6.750000000000000000e+03,8.745460881881858484e+01
6.800000000000000000e+03,8.746109574495231698e+01
6.850000000000000000e+03,8.742215153478305467e+01
6.900000000000000000e+03,8.750479124251287999e+01
6.950000000000000000e+03,8.750185932732145488e+01
7.000000000000000000e+03,8.747910043962860982e+01
7.050000000000000000e+03,8.744067932859316272e+01
7.100000000000000000e+03,8.742584014309315421e+01
7.150000000000000000e+03,8.742448309277391161e+01
7.200000000000000000e+03,8.743870194472488322e+01
7.250000000000000000e+03,8.750344525858541544e+01
7.300000000000000000e+03,8.747547978566028348e+01
7.350000000000000000e+03,8.752801750861517860e+01
7.400000000000000000e+03,8.744346487469087492e+01
7.450000000000000000e+03,8.741886915659462431e+01
7.500000000000000000e+03,8.749152895698816224e+01
7.550000000000000000e+03,8.747288231119381408e+01
7.600000000000000000e+03,8.744533163819176025e+01
7.650000000000000000e+03,8.746472596695394941e+01
7.700000000000000000e+03,8.741182609699870909e+01
7.750000000000000000e+03,8.741227665756613874e+01
7.800000000000000000e+03,8.741819498680148115e+01
7.850000000000000000e+03,8.746981067576470537e+01
7.900000000000000000e+03,8.743506012696479957e+01
7.950000000000000000e+03,8.746064973236748585e+01
8.000000000000000000e+03,8.747468453819382717e+01
8.050000000000000000e+03,8.747542934324634700e+01
8.100000000000000000e+03,8.742741527644871269e+01
8.150000000000000000e+03,8.749215592096099670e+01
8.200000000000000000e+03,8.753612205372517963e+01
8.250000000000000000e+03,8.758819113066159900e+01
8.300000000000000000e+03,8.751994643284440656e+01
8.350000000000000000e+03,8.748967246086743899e+01
8.400000000000000000e+03,8.751314763073061442e+01
8.450000000000000000e+03,8.752831465138677913e+01
8.500000000000000000e+03,8.754152309241111141e+01
8.550000000000000000e+03,8.750464219095037777e+01
8.600000000000000000e+03,8.752300846260492051e+01
8.650000000000000000e+03,8.749335004538995975e+01
8.700000000000000000e+03,8.750506053632659587e+01
8.750000000000000000e+03,8.754766465643162121e+01
8.800000000000000000e+03,8.755998080066061107e+01
8.850000000000000000e+03,8.756037045578479194e+01
8.900000000000000000e+03,8.759987651336908243e+01
8.950000000000000000e+03,8.757040257430475094e+01
9.000000000000000000e+03,8.749667158267767775e+01
9.050000000000000000e+03,8.753887266134724143e+01
9.100000000000000000e+03,8.749473075481843409e+01
9.150000000000000000e+03,8.752044038541059479e+01
9.200000000000000000e+03,8.758762836669311014e+01
9.250000000000000000e+03,8.751285375749185391e+01
9.300000000000000000e+03,8.749702124138450188e+01
9.350000000000000000e+03,8.751223791679490205e+01
9.400000000000000000e+03,8.743269421181324219e+01
9.450000000000000000e+03,8.747395046350220582e+01
9.500000000000000000e+03,8.746548715268771446e+01
9.550000000000000000e+03,8.744346534480457933e+01
9.600000000000000000e+03,8.746100328245437083e+01
9.650000000000000000e+03,8.744676658557141025e+01
9.700000000000000000e+03,8.738825066235438044e+01
9.750000000000000000e+03,8.741275807565568812e+01
9.800000000000000000e+03,8.744950982750953017e+01
9.850000000000000000e+03,8.743444510875893627e+01
9.900000000000000000e+03,8.740331659478131598e+01
9.950000000000000000e+03,8.736969666589837402e+01
1.000000000000000000e+04,8.732803754529891194e+01
1.005000000000000000e+04,8.738310721901702038e+01
1.010000000000000000e+04,8.743040870709845080e+01
1.015000000000000000e+04,8.739604177298978982e+01
1.020000000000000000e+04,8.738274928863226876e+01
1.025000000000000000e+04,8.750831805548301645e+01
1.030000000000000000e+04,8.743113574294343948e+01
1.035000000000000000e+04,8.737086632311839196e+01
1.040000000000000000e+04,8.744225175870012379e+01
1.045000000000000000e+04,8.738670019302807646e+01
1.050000000000000000e+04,8.739762049726351734e+01
1.055000000000000000e+04,8.737410890947140274e+01
1.060000000000000000e+04,8.739066017368833172e+01
1.065000000000000000e+04,8.744114204905409338e+01
1.070000000000000000e+04,8.741098857666200672e+01
1.075000000000000000e+04,8.744076922064249402e+01
1.080000000000000000e+04,8.741710594503705067e+01
1.085000000000000000e+04,8.740720793665283850e+01
1.090000000000000000e+04,8.735819745139805548e+01
1.095000000000000000e+04,8.741738027978101400e+01
1.100000000000000000e+04,8.737476799446181985e+01
1.105000000000000000e+04,8.750574523279180994e+01
1.110000000000000000e+04,8.745657969497025874e+01
1.115000000000000000e+04,8.742383750121501862e+01
1.120000000000000000e+04,8.751158553896939907e+01
1.125000000000000000e+04,8.748644646757053067e+01
1.130000000000000000e+04,8.750584398529306895e+01
1.135000000000000000e+04,8.747474848186212171e+01
1.140000000000000000e+04,8.748710239574329250e+01
1.145000000000000000e+04,8.747798321122093057e+01
1.150000000000000000e+04,8.744453569008958027e+01
1.155000000000000000e+04,8.747149843783664380e+01
1.160000000000000000e+04,8.744089448372199058e+01
1.165000000000000000e+04,8.749900912999673608e+01
1.170000000000000000e+04,8.745415193434557466e+01
1.175000000000000000e+04,8.746005738613990843e+01
1.180000000000000000e+04,8.738372480362858141e+01
1.185000000000000000e+04,8.742889829254701795e+01
1.190000000000000000e+04,8.743992425103721189e+01
1.195000000000000000e+04,8.741147834531210492e+01
1.200000000000000000e+04,8.752949820762653133e+01
1.205000000000000000e+04,8.751208584153178549e+01
1.210000000000000000e+04,8.751899688854841486e+01
1.215000000000000000e+04,8.744911929750287527e+01
1.220000000000000000e+04,8.744095533931188413e+01
1.225000000000000000e+04,8.744040907105799931e+01
1.230000000000000000e+04,8.747895759593662035e+01
1.235000000000000000e+04,8.740343907454050054e+01
1.240000000000000000e+04,8.743934537987348676e+01
1.245000000000000000e+04,8.747820505891129983e+01
1.250000000000000000e+04,8.740303325149429270e+01
1.255000000000000000e+04,8.742253228769207851e+01
1.260000000000000000e+04,8.742962134351317616e+01
1.265000000000000000e+04,8.739180581885653964e+01
1.270000000000000000e+04,8.744564273623716133e+01
1.275000000000000000e+04,8.744238252648879950e+01
1.280000000000000000e+04,8.745959908668349669e+01
1.285000000000000000e+04,8.741442883212793902e+01
1.290000000000000000e+04,8.744812259938767340e+01
1.295000000000000000e+04,8.744717815848477471e+01
1.300000000000000000e+04,8.748255466599984231e+01
1.305000000000000000e+04,8.745148448481036496e+01
1.310000000000000000e+04,8.740121349574916110e+01
1.315000000000000000e+04,8.741052353597184776e+01
1.320000000000000000e+04,8.744556196182016095e+01
1.325000000000000000e+04,8.745757840348611012e+01
1.330000000000000000e+04,8.744040653693180332e+01
1.335000000000000000e+04,8.747108953425124866e+01
1.340000000000000000e+04,8.747701221850739728e+01
1.345000000000000000e+04,8.744721765495459920e+01
1.350000000000000000e+04,8.736496046196187137e+01
1.355000000000000000e+04,8.732924759939365345e+01
1.360000000000000000e+04,8.740079152734874413e+01
1.365000000000000000e+04,8.741672574743803636e+01
1.370000000000000000e+04,8.739591238851403432e+01
1.375000000000000000e+04,8.737211112638117072e+01
1.380000000000000000e+04,8.732634024236310211e+01
1.385000000000000000e+04,8.740233905807006920e+01
1.390000000000000000e+04,8.745279007651268444e+01
1.395000000000000000e+04,8.742012023184612701e+01
1.400000000000000000e+04,8.744883097741484335e+01
1.405000000000000000e+04,8.738606722305854646e+01
1.410000000000000000e+04,8.741678556140952594e+01
1.415000000000000000e+04,8.744429083787530033e+01
1.420000000000000000e+04,8.741111329310773215e+01
1.425000000000000000e+04,8.744301422810362112e+01
1.430000000000000000e+04,8.740467399367949497e+01
1.435000000000000000e+04,8.737003057618142066e+01
1.440000000000000000e+04,8.737366813371535557e+01
1.445000000000000000e+04,8.738964199783399067e+01
1.450000000000000000e+04,8.740492768169389137e+01
1.455000000000000000e+04,8.741957474992483412e+01
1.460000000000000000e+04,8.740821219464292824e+01
1.465000000000000000e+04,8.739752374301262705e+01
1.470000000000000000e+04,8.740865798133931719e+01
1.475000000000000000e+04,8.742177373157272768e+01
1.480000000000000000e+04,8.741210676434536708e+01
1.485000000000000000e+04,8.740261427061919619e+01
1.490000000000000000e+04,8.742141679881211758e+01
1.495000000000000000e+04,8.740936982494145013e+01
1.500000000000000000e+04,8.740053342091579225e+01
1.505000000000000000e+04,8.738107220115001894e+01
1.510000000000000000e+04,8.740110313825296373e+01
1.515000000000000000e+04,8.742924150948898898e+01
1.520000000000000000e+04,8.745402420186304937e+01
1.525000000000000000e+04,8.742870007856227232e+01
1.530000000000000000e+04,8.746476369391631067e+01
1.535000000000000000e+04,8.748725790801252344e+01
1.540000000000000000e+04,8.743995544603207293e+01
1.545000000000000000e+04,8.750187025356125048e+01
1.550000000000000000e+04,8.749501830890871190e+01
1.555000000000000000e+04,8.747580445221542789e+01
1.560000000000000000e+04,8.744968153997760396e+01
1.565000000000000000e+04,8.744600281712548906e+01
1.570000000000000000e+04,8.748326650420690953e+01
1.575000000000000000e+04,8.744316066036124369e+01
1.580000000000000000e+04,8.742955950740881121e+01
1.585000000000000000e+04,8.749542448713486920e+01
1.590000000000000000e+04,8.746590038902063213e+01
1.595000000000000000e+04,8.751150055849065268e+01
1.600000000000000000e+04,8.744525889689211340e+01
1.605000000000000000e+04,8.750320620885993605e+01
1.610000000000000000e+04,8.750099958136510736e+01
1.615000000000000000e+04,8.744918314406379523e+01
1.620000000000000000e+04,8.746756699630626031e+01
1.625000000000000000e+04,8.746298379556569103e+01
1.630000000000000000e+04,8.747345859395120726e+01
1.635000000000000000e+04,8.742367061989340016e+01
1.640000000000000000e+04,8.741563744354314736e+01
1.645000000000000000e+04,8.737324044556788749e+01
1.650000000000000000e+04,8.742600881346457697e+01
1.655000000000000000e+04,8.744301897808780666e+01
1.660000000000000000e+04,8.739437709914543007e+01
1.665000000000000000e+04,8.743527812771692709e+01
1.670000000000000000e+04,8.742672479464194168e+01
1.675000000000000000e+04,8.738937454448887365e+01
1.680000000000000000e+04,8.743402395111181136e+01
1.685000000000000000e+04,8.743497204937662559e+01
1.690000000000000000e+04,8.745844695834675520e+01
1.695000000000000000e+04,8.745280790357392675e+01
1.700000000000000000e+04,8.747689534496664976e+01
1.705000000000000000e+04,8.748340328359302021e+01
1.710000000000000000e+04,8.746552120741942815e+01
1.715000000000000000e+04,8.749469911796249733e+01
1.720000000000000000e+04,8.743445832414950303e+01
1.725000000000000000e+04,8.745548717667720950e+01
1.730000000000000000e+04,8.742467413989299985e+01
1.735000000000000000e+04,8.746858676332682592e+01
1.740000000000000000e+04,8.745482385846520401e+01
1.745000000000000000e+04,8.748555036708674493e+01
1.750000000000000000e+04,8.750079088908312031e+01
1.755000000000000000e+04,8.747977788758886675e+01
1.760000000000000000e+04,8.748075286860363065e+01
1.765000000000000000e+04,8.748874938984160110e+01
1.770000000000000000e+04,8.742687175982096903e+01
1.775000000000000000e+04,8.746810992023621623e+01
1.780000000000000000e+04,8.746698141437168772e+01
1.785000000000000000e+04,8.749592865987037271e+01
1.790000000000000000e+04,8.749294824096580214e+01
1.795000000000000000e+04,8.747345617427529874e+01
1.800000000000000000e+04,8.749486690271169209e+01
1.805000000000000000e+04,8.750694866919096171e+01
1.810000000000000000e+04,8.745968127038352691e+01
1.815000000000000000e+04,8.750221139348036559e+01
1.820000000000000000e+04,8.744288701033734412e+01
1.825000000000000000e+04,8.744974848460036299e+01
1.830000000000000000e+04,8.750206893855066426e+01
1.835000000000000000e+04,8.745756536205983878e+01
1.840000000000000000e+04,8.747739868629361126e+01
1.845000000000000000e+04,8.748563776273597625e+01
1.850000000000000000e+04,8.747672332473597123e+01
1.855000000000000000e+04,8.750969389296103884e+01
