# Time,Radius_of_Gyration
0.000000000000000000e+00,8.717462321428568828e+01
5.000000000000000000e+01,8.716211532543100304e+01
1.000000000000000000e+02,8.712508714171123358e+01
1.500000000000000000e+02,8.717528230127479105e+01
2.000000000000000000e+02,8.709180436916372514e+01
2.500000000000000000e+02,8.708735449330673362e+01
3.000000000000000000e+02,8.706388440118264782e+01
3.500000000000000000e+02,8.712587376365195269e+01
4.000000000000000000e+02,8.717003382210563700e+01
4.500000000000000000e+02,8.713051700202272798e+01
5.000000000000000000e+02,8.705884806857395120e+01
5.500000000000000000e+02,8.705467765921044077e+01
6.000000000000000000e+02,8.710504260004951504e+01
6.500000000000000000e+02,8.711413079277480165e+01
7.000000000000000000e+02,8.708452605875596930e+01
7.500000000000000000e+02,8.711439102728775197e+01
8.000000000000000000e+02,8.716233808707906405e+01
8.500000000000000000e+02,8.709436809846258143e+01
9.000000000000000000e+02,8.714672149240536214e+01
9.500000000000000000e+02,8.714598143574333733e+01
1.000000000000000000e+03,8.712931446275636915e+01
1.050000000000000000e+03,8.714624484664145143e+01
1.100000000000000000e+03,8.710870186805780691e+01
1.150000000000000000e+03,8.712899921469158926e+01
1.200000000000000000e+03,8.713124912008730405e+01
1.250000000000000000e+03,8.714346136838621248e+01
1.300000000000000000e+03,8.718479688036686071e+01
1.350000000000000000e+03,8.715749123916585006e+01
1.400000000000000000e+03,8.718701825875280065e+01
1.450000000000000000e+03,8.719786370483663518e+01
1.500000000000000000e+03,8.721111934788217468e+01
1.550000000000000000e+03,8.718614597598408977e+01
1.600000000000000000e+03,8.714750657630874286e+01
1.650000000000000000e+03,8.714422576573628021e+01
1.700000000000000000e+03,8.717234148889781409e+01
1.750000000000000000e+03,8.716188578358104166e+01
1.800000000000000000e+03,8.716945544517315625e+01
1.850000000000000000e+03,8.717798521000693768e+01
1.900000000000000000e+03,8.719414633258732295e+01
1.950000000000000000e+03,8.717513461484169568e+01
2.000000000000000000e+03,8.719863150181647882e+01
2.050000000000000000e+03,8.721478752692348735e+01
2.100000000000000000e+03,8.724281651148506000e+01
2.150000000000000000e+03,8.719489121040896862e+01
2.200000000000000000e+03,8.715414180912405584e+01
2.250000000000000000e+03,8.714796959163024326e+01
2.300000000000000000e+03,8.721531922895343314e+01
2.350000000000000000e+03,8.721546488092263871e+01
2.400000000000000000e+03,8.718151571381795861e+01
2.450000000000000000e+03,8.717917396887089865e+01
2.500000000000000000e+03,8.714127015144177335e+01
2.550000000000000000e+03,8.716633020016946887e+01
2.600000000000000000e+03,8.714015010246228599e+01
2.650000000000000000e+03,8.717650859600976787e+01
2.700000000000000000e+03,8.715548773964901841e+01
2.750000000000000000e+03,8.715778012460319246e+01
2.800000000000000000e+03,8.715696344556862130e+01
2.850000000000000000e+03,8.709940306541133737e+01
2.900000000000000000e+03,8.713120666076027021e+01
2.950000000000000000e+03,8.709354118397317279e+01
3.000000000000000000e+03,8.714629009544391636e+01
3.050000000000000000e+03,8.716273642747957240e+01
3.100000000000000000e+03,8.712346504517678625e+01
3.150000000000000000e+03,8.713141004787279087e+01
3.200000000000000000e+03,8.715054682411748388e+01
3.250000000000000000e+03,8.711137595815083046e+01
3.300000000000000000e+03,8.714096974522219341e+01
3.350000000000000000e+03,8.711546633988872657e+01
3.400000000000000000e+03,8.713949214509017338e+01
3.450000000000000000e+03,8.715558783163140788e+01
3.500000000000000000e+03,8.715864790989387245e+01
3.550000000000000000e+03,8.714764163028405619e+01
3.600000000000000000e+03,8.715051567124716314e+01
3.650000000000000000e+03,8.712007875648762933e+01
3.700000000000000000e+03,8.716357823744318978e+01
3.750000000000000000e+03,8.717543006983363796e+01
3.800000000000000000e+03,8.719252578044329027e+01
3.850000000000000000e+03,8.716858663678935670e+01
3.900000000000000000e+03,8.715345511765907816e+01
3.950000000000000000e+03,8.719661093738768898e+01
4.000000000000000000e+03,8.724438135190706589e+01
4.050000000000000000e+03,8.722746972169747437e+01
4.100000000000000000e+03,8.715481129023007156e+01
4.150000000000000000e+03,8.713201269338756561e+01
4.200000000000000000e+03,8.715947604439921292e+01
4.250000000000000000e+03,8.718928822773312959e+01
4.300000000000000000e+03,8.722484338549291749e+01
4.350000000000000000e+03,8.717042657866532807e+01
4.400000000000000000e+03,8.719314951486408916e+01
4.450000000000000000e+03,8.716450490226669956e+01
4.500000000000000000e+03,8.721549620844871242e+01
4.550000000000000000e+03,8.718021071612524509e+01
4.600000000000000000e+03,8.717478358137505268e+01
4.650000000000000000e+03,8.717615056691182929e+01
4.700000000000000000e+03,8.717234650988373801e+01
4.750000000000000000e+03,8.714330046605508073e+01
4.800000000000000000e+03,8.717728724546907415e+01
4.850000000000000000e+03,8.725458272878094590e+01
4.900000000000000000e+03,8.726898626492058497e+01
4.950000000000000000e+03,8.721481871996155633e+01
5.000000000000000000e+03,8.711985375638495555e+01
5.050000000000000000e+03,8.717346132884499355e+01
5.100000000000000000e+03,8.718910384331053365e+01
5.150000000000000000e+03,8.721523197804397398e+01
5.200000000000000000e+03,8.714861836513733806e+01
5.250000000000000000e+03,8.716749472019820644e+01
5.300000000000000000e+03,8.713658119378641231e+01
5.350000000000000000e+03,8.716109257816258093e+01
5.400000000000000000e+03,8.717280732364642404e+01
5.450000000000000000e+03,8.719243280858368905e+01
5.500000000000000000e+03,8.719062840019127236e+01
5.550000000000000000e+03,8.717613019834060140e+01
5.600000000000000000e+03,8.720838556137859143e+01
5.650000000000000000e+03,8.723670999717192842e+01
5.700000000000000000e+03,8.716550132979180887e+01
5.750000000000000000e+03,8.722537310549380152e+01
5.800000000000000000e+03,8.719527066850295682e+01
5.850000000000000000e+03,8.720149965086440602e+01
5.900000000000000000e+03,8.719077546232806242e+01
5.950000000000000000e+03,8.718953915315253766e+01
6.000000000000000000e+03,8.724498647840410115e+01
6.050000000000000000e+03,8.722855271579386738e+01
6.100000000000000000e+03,8.723826982540916219e+01
6.150000000000000000e+03,8.721190763870846752e+01
6.200000000000000000e+03,8.724755617705525879e+01
6.250000000000000000e+03,8.724379787932926433e+01
6.300000000000000000e+03,8.717471808726239146e+01
6.350000000000000000e+03,8.724823746580609907e+01
6.400000000000000000e+03,8.723855076085955318e+01
6.450000000000000000e+03,8.723271801935723602e+01
6.500000000000000000e+03,8.723785963746537675e+01
6.550000000000000000e+03,8.724272995741218040e+01
6.600000000000000000e+03,8.721211453568875527e+01
6.650000000000000000e+03,8.721916195140549632e+01
6.700000000000000000e+03,8.724343911983213218e+01
6.750000000000000000e+03,8.720278475502362880e+01
